KOG_cat	KOG_sub_cat	KOG_desc
INFORMATION_STORAGE_AND_PROCESSING	J	Translation_ribosomal_structure_and_biogenesis
INFORMATION_STORAGE_AND_PROCESSING	A	RNA_processing_and_modification
INFORMATION_STORAGE_AND_PROCESSING	K	Transcription
INFORMATION_STORAGE_AND_PROCESSING	L	Replication_recombination_and_repair
INFORMATION_STORAGE_AND_PROCESSING	B	Chromatin_structure_and_dynamics
CELLULAR_PROCESSES_AND_SIGNALING	Y	Nuclear_structure
CELLULAR_PROCESSES_AND_SIGNALING	V	Defense_mechanisms
CELLULAR_PROCESSES_AND_SIGNALING	T	Signal_transduction_mechanisms
CELLULAR_PROCESSES_AND_SIGNALING	M	Cell_wall/membrane/envelope_biogenesis
CELLULAR_PROCESSES_AND_SIGNALING	N	Cell_motility
CELLULAR_PROCESSES_AND_SIGNALING	Z	Cytoskeleton
CELLULAR_PROCESSES_AND_SIGNALING	W	Extracellular_structures
CELLULAR_PROCESSES_AND_SIGNALING	U	Intracellular_trafficking_secretion_and_vesicular_transport
CELLULAR_PROCESSES_AND_SIGNALING	O	Posttranslational_modification_protein_turnover_chaperones
METABOLISM	C	Energy_production_and_conversion
METABOLISM	D	Cell_cycle_control_cell_division_chromosome_partitioning
METABOLISM	G	Carbohydrate_transport_and_metabolism
METABOLISM	E	Amino_acid_transport_and_metabolism
METABOLISM	F	Nucleotide_transport_and_metabolism
METABOLISM	H	Coenzyme_transport_and_metabolism
METABOLISM	I	Lipid_transport_and_metabolism
METABOLISM	P	Inorganic_ion_transport_and_metabolism
METABOLISM	Q	Secondary_metabolites_biosynthesis_transport_and_catabolism
POORLY_CHARACTERIZED	R	General_function_prediction_only
POORLY_CHARACTERIZED	S	Function_unknown
