"P_cor" "Growth_cor" "Retention_cor" "P_pvalue" "Growth_pvalue" "Retention_pvalue"
"MEblue" -0.265798049213671 0.536770603147919 -0.531015179653369 0.209349568951249 0.00684369540674478 0.00758706771761486
"MEgreen" -0.497218661147135 0.423430635667882 -0.433390423103933 0.013435808394257 0.0392283721545682 0.0343757715385224
"MEroyalblue" 0.0167290349078036 0.226030471900597 -0.23980139428741 0.938157961413941 0.288223229486855 0.259052479957327
"MEpurple" 0.457982353797208 0.507925461596991 -0.396580881296277 0.0244159620454297 0.0112789853469204 0.0550288694463121
"MEcyan" -0.251639392580149 0.0892557290663906 -0.0734727095660948 0.235554309054905 0.678325774435102 0.732962125506924
"MEdarkred" 0.430777339323222 -0.0582033156225425 0.0213847332225282 0.0356001263729592 0.787049461552356 0.920994002122852
"MElightyellow" 0.0757126809571981 -0.566106843183966 0.602985072476816 0.725123736095183 0.00393131080951791 0.00181556081390893
"MEpink" 0.610781058381567 -0.372170364176635 0.478561511142592 0.00152349565438858 0.0733110660779427 0.0179979333523925
"MEblack" 0.502955536489291 -0.60479996722475 0.598170519245312 0.0122415975629283 0.00174362089493106 0.00201878901297135
"MEbrown" 0.951479056891364 -0.128071794937682 0.22650178987869 9.65486441821949e-13 0.550913688470244 0.287192142398425
"MEsalmon" -0.203148727916149 -0.136630834259748 0.138879273483691 0.341060824456216 0.524375232806285 0.517506253973045
"MEtan" -0.137832014648749 -0.302385648829579 0.462127250317279 0.52070023131038 0.150952522082364 0.0229937961760962
"MEgrey60" -0.464832315387237 -0.186082370474749 0.086907158928257 0.0221022638911772 0.383978963016165 0.686364631516508
"MEmidnightblue" -0.933067601772831 -0.0263507457360982 -0.0622816473052962 3.04752627065709e-11 0.902723850245901 0.772498056353181
