"powerEstimate" "fitIndices.Power" "fitIndices.SFT.R.sq" "fitIndices.slope" "fitIndices.truncated.R.sq" "fitIndices.mean.k." "fitIndices.median.k." "fitIndices.max.k."
"1" NA 1 0.430425586894634 2.74958202386513 0.925831485867536 3020.07184754985 2999.08307784603 4469.97144099889
"2" NA 2 0.0254155750881508 0.341883615051107 0.833088027485656 1283.87733337392 1233.5742992111 2526.22320515715
"3" NA 3 0.104465863550821 -0.57457466422824 0.807396887159631 656.385578252201 602.719745920018 1604.30726708936
"4" NA 4 0.348617313376452 -1.04490355328081 0.816402430473865 376.079323840082 326.710688982957 1088.95804219484
"5" NA 5 0.520971662605516 -1.22718482131794 0.853090838566759 233.228398414708 190.839161822415 772.433712030014
"6" NA 6 0.645960806785987 -1.30723627707501 0.896030463611155 153.412503266672 117.155942523921 572.920042331771
"7" NA 7 0.694844891487669 -1.46480402999194 0.908091910037642 105.641059413281 75.6137172791445 451.833910730399
"8" NA 8 0.722136275343979 -1.57847424064837 0.918149802189807 75.4685909426298 50.1440487709375 365.306629383978
"9" NA 9 0.752048403784997 -1.63877353017268 0.933903424354598 55.5656853306924 34.0343898851181 301.310685097779
"10" NA 10 0.783063561382643 -1.66185262587797 0.950125789389686 41.9570377436376 23.8003817123857 252.623601714314
"11" NA 11 0.805964025166828 -1.67440893313543 0.962715856385545 32.366591549869 17.0617626903866 214.700178036861
"12" NA 12 0.813821393887138 -1.69040866794719 0.966245210045321 25.4311960008166 12.331848907895 184.566609866078
"13" NA 13 0.822260977843551 -1.70584694726456 0.97207615785184 20.3027185322277 9.12436266943263 161.081658127938
"14" NA 18 0.829353929627326 -1.79791680132354 0.973534055066805 7.8803996282144 2.40773736522185 92.1917306695595
"15" NA 23 0.829783270146601 -1.84788605235161 0.971521612369753 3.74867624988514 0.792343878339991 59.0454489702513
"16" NA 28 0.826985637294619 -1.86985571281988 0.972616140217416 2.0279958193876 0.300587822990515 40.5068574207089
"17" NA 33 0.839864137388345 -1.8652502903068 0.984413189553552 1.19871656472181 0.125156936596122 29.1244134252704
