kog_sub_cat	kog_id	kog_id_desc
OR	KOG0001	Ubiquitinandubiquitin-likeproteins
J	KOG0002	60sribosomalproteinL39
J	KOG0003	Ubiquitin/60sribosomalproteinL40fusion
J	KOG0004	Ubiquitin/40SribosomalproteinS27afusion
DO	KOG0005	Ubiquitin-likeprotein
O	KOG0006	E3ubiquitin-proteinligase(Parkinprotein)
A	KOG0007	Splicingfactor3asubunit1
K	KOG0008	TranscriptioninitiationfactorTFIIDsubunitTAF1
JO	KOG0009	Ubiquitin-like/40SribosomalS30proteinfusion
OR	KOG0010	Ubiquitin-likeprotein
L	KOG0011	NucleotideexcisionrepairfactorNEF2RAD23component
L	KOG0012	DNAdamageinducibleprotein
S	KOG0013	Uncharacterizedconservedprotein
K	KOG0014	MADSboxtranscriptionfactor
K	KOG0015	RegulatorofargininemetabolismandrelatedMADSbox-containingtranscriptionfactors
I	KOG0016	Enoyl-CoAhydratase/isomerase
R	KOG0017	FOG:Transposon-encodedproteinswithTYAreversetintegrasedomainsinvariouscombinations
D	KOG0018	Structuralmaintenanceofchromosomeprotein1(sissubunitSMC1)
O	KOG0019	Molecularchaperone(HSP90family)
O	KOG0020	Endoplasmicreticulumglucose-regulatedprotein(GRHSP90family
Q	KOG0021	Glutathionesynthetase
Q	KOG0022	AlcoholdehydrogenaseclassIII
Q	KOG0023	AlcoholdehydrogenaseclassV
Q	KOG0024	Sorbitoldehydrogenase
KC	KOG0025	Zn2+-bindingdehydrogenase(nuclearreceptorbindingfactor-1)
E	KOG0026	Anthranilatesynthasebetachain
T	KOG0027	Calmodulinandrelatedproteins(EF-Handsuperfamily)
ZD	KOG0028	Ca2+-bindingprotein(centrin/caltractin)EF-Handsuperfamilyprotein
Q	KOG0029	Amineoxidase
Z	KOG0030	MyosinessentiallightchainEF-Handproteinsuperfamily
Z	KOG0031	MyosinregulatorylightchainEF-Handproteinsuperfamily
T	KOG0032	Ca2+/calmodulin-dependentproteinkinaseEF-Handproteinsuperfamily
