nodeName altName nodeAttribute
GENE:JGI_V11_100200 NA blue
GENE:JGI_V11_100218 NA blue
GENE:JGI_V11_100451 NA brown
GENE:JGI_V11_100485 NA cyan
GENE:JGI_V11_100643 NA brown
GENE:JGI_V11_100705 NA brown
GENE:JGI_V11_100959 NA cyan
GENE:JGI_V11_100969 NA cyan
GENE:JGI_V11_101019 NA blue
GENE:JGI_V11_101081 NA cyan
GENE:JGI_V11_101496 NA cyan
GENE:JGI_V11_101570 NA brown
GENE:JGI_V11_101684 NA brown
GENE:JGI_V11_102073 NA brown
GENE:JGI_V11_102093 NA brown
GENE:JGI_V11_102106 NA brown
GENE:JGI_V11_102242 NA brown
GENE:JGI_V11_103198 NA cyan
GENE:JGI_V11_103299 NA brown
GENE:JGI_V11_103470 NA red
GENE:JGI_V11_103740 NA blue
GENE:JGI_V11_104994 NA blue
GENE:JGI_V11_105016 NA blue
GENE:JGI_V11_105313 NA blue
GENE:JGI_V11_105465 NA yellow
GENE:JGI_V11_105891 NA darkred
GENE:JGI_V11_106194 NA blue
GENE:JGI_V11_106294 NA brown
GENE:JGI_V11_106758 NA blue
GENE:JGI_V11_106812 NA blue
GENE:JGI_V11_106819 NA blue
GENE:JGI_V11_107243 NA brown
GENE:JGI_V11_107476 NA blue
GENE:JGI_V11_107488 NA brown
GENE:JGI_V11_107541 NA cyan
GENE:JGI_V11_107746 NA blue
GENE:JGI_V11_108078 NA brown
GENE:JGI_V11_108386 NA blue
GENE:JGI_V11_109229 NA yellow
GENE:JGI_V11_109654 NA brown
GENE:JGI_V11_109720 NA cyan
GENE:JGI_V11_110319 NA blue
GENE:JGI_V11_110469 NA brown
GENE:JGI_V11_110519 NA brown
GENE:JGI_V11_110904 NA blue
GENE:JGI_V11_110982 NA yellow
GENE:JGI_V11_111590 NA blue
GENE:JGI_V11_112027 NA brown
GENE:JGI_V11_112052 NA cyan
GENE:JGI_V11_113118 NA blue
GENE:JGI_V11_113365 NA blue
GENE:JGI_V11_114593 NA blue
GENE:JGI_V11_115636 NA blue
GENE:JGI_V11_115779 NA blue
GENE:JGI_V11_115951 NA brown
GENE:JGI_V11_116065 NA cyan
GENE:JGI_V11_116153 NA brown
GENE:JGI_V11_116212 NA blue
GENE:JGI_V11_116674 NA cyan
GENE:JGI_V11_117284 NA blue
GENE:JGI_V11_117293 NA brown
GENE:JGI_V11_117751 NA cyan
GENE:JGI_V11_117816 NA brown
GENE:JGI_V11_118264 NA blue
GENE:JGI_V11_118338 NA brown
GENE:JGI_V11_119459 NA brown
GENE:JGI_V11_119476 NA blue
GENE:JGI_V11_119531 NA brown
GENE:JGI_V11_119886 NA cyan
GENE:JGI_V11_120146 NA red
GENE:JGI_V11_120637 NA cyan
GENE:JGI_V11_120778 NA blue
GENE:JGI_V11_122471 NA blue
GENE:JGI_V11_124601 NA brown
GENE:JGI_V11_128029 NA brown
GENE:JGI_V11_128417 NA brown
GENE:JGI_V11_129101 NA cyan
GENE:JGI_V11_13713 NA red
GENE:JGI_V11_17612 NA brown
GENE:JGI_V11_191209 NA brown
