gene,Gname,Gnomon,Scaffold,Begin,End,Or,KOG_JGI
GENE:JGI_V11_100009,fgenesh1_pg.C_scaffold_13000262,NCBI_GNO_530134,scaffold_13,1398656,1403706,+,KOG2806
GENE:JGI_V11_100036,fgenesh1_pg.C_scaffold_13000289,NCBI_GNO_568134,scaffold_13,1504167,1507685,-,KOG1216
GENE:JGI_V11_100044,fgenesh1_pg.C_scaffold_13000297,0,scaffold_13,1572588,1573461,-,KOG3803
GENE:JGI_V11_100045,fgenesh1_pg.C_scaffold_13000298,NCBI_GNO_598134,scaffold_13,1579330,1580011,-,0
GENE:JGI_V11_100062,fgenesh1_pg.C_scaffold_13000315,NCBI_GNO_618134,scaffold_13,1686119,1687490,+,0
GENE:JGI_V11_100066,fgenesh1_pg.C_scaffold_13000319,NCBI_GNO_628134,scaffold_13,1703967,1707170,-,KOG1238
GENE:JGI_V11_100070,fgenesh1_pg.C_scaffold_13000323,NCBI_GNO_638134,scaffold_13,1720895,1723745,-,KOG1238
GENE:JGI_V11_100082,fgenesh1_pg.C_scaffold_13000335,NCBI_GNO_664134,scaffold_13,1787311,1792294,-,KOG1216
GENE:JGI_V11_100090,fgenesh1_pg.C_scaffold_13000343,NCBI_GNO_690134,scaffold_13,1833607,1834211,+,0
GENE:JGI_V11_100102,fgenesh1_pg.C_scaffold_13000355,NCBI_GNO_712134,scaffold_13,1883301,1884963,-,KOG4341
GENE:JGI_V11_100105,fgenesh1_pg.C_scaffold_14000002,NCBI_GNO_66144,scaffold_14,1776,2498,-,0
GENE:JGI_V11_100109,fgenesh1_pg.C_scaffold_14000006,NCBI_GNO_90144,scaffold_14,16033,17402,+,KOG1350
GENE:JGI_V11_100110,fgenesh1_pg.C_scaffold_14000007,NCBI_GNO_92144,scaffold_14,18058,18727,-,0
GENE:JGI_V11_100114,fgenesh1_pg.C_scaffold_14000011,NCBI_GNO_110144,scaffold_14,32327,33605,-,KOG4663
GENE:JGI_V11_100117,fgenesh1_pg.C_scaffold_14000014,NCBI_GNO_120144,scaffold_14,38136,38621,-,0
GENE:JGI_V11_100118,fgenesh1_pg.C_scaffold_14000015,NCBI_GNO_122144,scaffold_14,38826,39365,+,0
GENE:JGI_V11_100124,fgenesh1_pg.C_scaffold_14000021,NCBI_GNO_136144,scaffold_14,87509,88819,+,0
GENE:JGI_V11_100126,fgenesh1_pg.C_scaffold_14000023,0,scaffold_14,95640,96583,-,0
GENE:JGI_V11_100127,fgenesh1_pg.C_scaffold_14000024,NCBI_GNO_146144,scaffold_14,103346,104394,-,0
GENE:JGI_V11_100137,fgenesh1_pg.C_scaffold_14000034,NCBI_GNO_162144,scaffold_14,138551,139204,+,0
GENE:JGI_V11_100138,fgenesh1_pg.C_scaffold_14000035,0,scaffold_14,141318,141902,+,0
GENE:JGI_V11_100142,fgenesh1_pg.C_scaffold_14000039,NCBI_GNO_180144,scaffold_14,200562,202027,+,0
GENE:JGI_V11_100144,fgenesh1_pg.C_scaffold_14000041,NCBI_GNO_196144,scaffold_14,214139,216259,-,0
GENE:JGI_V11_100157,fgenesh1_pg.C_scaffold_14000054,0,scaffold_14,298142,298702,-,0
GENE:JGI_V11_100164,fgenesh1_pg.C_scaffold_14000061,NCBI_GNO_238144,scaffold_14,348578,349827,-,0
GENE:JGI_V11_100168,fgenesh1_pg.C_scaffold_14000065,NCBI_GNO_250144,scaffold_14,383184,383792,-,KOG3696
GENE:JGI_V11_100169,fgenesh1_pg.C_scaffold_14000066,NCBI_GNO_250144,scaffold_14,384974,385894,-,0
GENE:JGI_V11_100180,fgenesh1_pg.C_scaffold_14000077,0,scaffold_14,500490,501481,+,0
GENE:JGI_V11_100181,fgenesh1_pg.C_scaffold_14000078,NCBI_GNO_268144,scaffold_14,507366,508477,+,0
GENE:JGI_V11_100182,fgenesh1_pg.C_scaffold_14000079,0,scaffold_14,511701,512513,-,0
GENE:JGI_V11_100184,fgenesh1_pg.C_scaffold_14000081,NCBI_GNO_278144,scaffold_14,527615,529234,+,0
GENE:JGI_V11_100186,fgenesh1_pg.C_scaffold_14000083,NCBI_GNO_282144,scaffold_14,534024,535476,+,0
GENE:JGI_V11_100189,fgenesh1_pg.C_scaffold_14000086,NCBI_GNO_288144,scaffold_14,556735,558296,+,KOG1187
GENE:JGI_V11_100194,fgenesh1_pg.C_scaffold_14000091,NCBI_GNO_300144,scaffold_14,599756,600336,+,0
GENE:JGI_V11_100198,fgenesh1_pg.C_scaffold_14000095,NCBI_GNO_312144,scaffold_14,633314,634960,-,KOG0017
GENE:JGI_V11_100200,fgenesh1_pg.C_scaffold_14000097,NCBI_GNO_314144,scaffold_14,660662,663721,+,0
GENE:JGI_V11_100201,fgenesh1_pg.C_scaffold_14000098,NCBI_GNO_318144,scaffold_14,665121,666483,+,0
GENE:JGI_V11_100204,fgenesh1_pg.C_scaffold_14000101,NCBI_GNO_326144,scaffold_14,691665,692243,+,0
GENE:JGI_V11_100205,fgenesh1_pg.C_scaffold_14000102,NCBI_GNO_330144,scaffold_14,709912,711616,-,0
GENE:JGI_V11_100207,fgenesh1_pg.C_scaffold_14000104,0,scaffold_14,727992,728807,-,KOG1187
GENE:JGI_V11_100208,fgenesh1_pg.C_scaffold_14000105,0,scaffold_14,742065,747312,+,KOG1283
GENE:JGI_V11_100213,fgenesh1_pg.C_scaffold_14000110,NCBI_GNO_338144,scaffold_14,782473,783216,+,0
GENE:JGI_V11_100217,fgenesh1_pg.C_scaffold_14000114,NCBI_GNO_356144,scaffold_14,827195,827984,-,0
GENE:JGI_V11_100218,fgenesh1_pg.C_scaffold_14000115,NCBI_GNO_358144,scaffold_14,828137,830840,-,0
GENE:JGI_V11_100222,fgenesh1_pg.C_scaffold_14000119,NCBI_GNO_370144,scaffold_14,852752,853269,-,0
GENE:JGI_V11_100243,fgenesh1_pg.C_scaffold_14000140,NCBI_GNO_404144,scaffold_14,987738,990542,-,KOG0335
GENE:JGI_V11_100245,fgenesh1_pg.C_scaffold_14000142,0,scaffold_14,996895,998417,-,0
GENE:JGI_V11_100248,fgenesh1_pg.C_scaffold_14000145,NCBI_GNO_410144,scaffold_14,1007518,1009147,-,0
GENE:JGI_V11_100249,fgenesh1_pg.C_scaffold_14000146,NCBI_GNO_416144,scaffold_14,1009681,1012111,-,0
GENE:JGI_V11_100262,fgenesh1_pg.C_scaffold_14000159,NCBI_GNO_434144,scaffold_14,1052658,1053965,+,0
GENE:JGI_V11_100265,fgenesh1_pg.C_scaffold_14000162,NCBI_GNO_440144,scaffold_14,1061531,1062761,+,KOG3656
GENE:JGI_V11_100270,fgenesh1_pg.C_scaffold_14000167,NCBI_GNO_456144,scaffold_14,1091567,1093468,+,KOG3627
GENE:JGI_V11_100276,fgenesh1_pg.C_scaffold_14000173,NCBI_GNO_468144,scaffold_14,1110055,1111330,-,KOG1699
GENE:JGI_V11_100280,fgenesh1_pg.C_scaffold_14000177,NCBI_GNO_476144,scaffold_14,1129845,1130967,+,KOG3656
GENE:JGI_V11_100284,fgenesh1_pg.C_scaffold_14000181,NCBI_GNO_486144,scaffold_14,1142036,1144649,+,KOG4297
GENE:JGI_V11_100286,fgenesh1_pg.C_scaffold_14000183,NCBI_GNO_488144,scaffold_14,1152164,1153998,+,0
GENE:JGI_V11_100304,fgenesh1_pg.C_scaffold_14000201,NCBI_GNO_386143,scaffold_14,1224290,1225150,+,0
GENE:JGI_V11_100309,fgenesh1_pg.C_scaffold_14000206,NCBI_GNO_514144,scaffold_14,1242045,1243841,-,KOG2720
GENE:JGI_V11_100321,fgenesh1_pg.C_scaffold_14000218,NCBI_GNO_538144,scaffold_14,1299357,1299932,-,KOG0661
GENE:JGI_V11_100332,fgenesh1_pg.C_scaffold_14000229,NCBI_GNO_560144,scaffold_14,1323575,1324241,-,0
GENE:JGI_V11_100333,fgenesh1_pg.C_scaffold_14000230,NCBI_GNO_564144,scaffold_14,1326784,1328432,+,0
GENE:JGI_V11_100339,fgenesh1_pg.C_scaffold_14000236,NCBI_GNO_572144,scaffold_14,1349079,1350244,+,KOG0613
GENE:JGI_V11_100340,fgenesh1_pg.C_scaffold_14000237,NCBI_GNO_574144,scaffold_14,1353100,1353773,+,KOG0845
GENE:JGI_V11_100344,fgenesh1_pg.C_scaffold_14000241,0,scaffold_14,1362730,1364130,+,0
GENE:JGI_V11_100368,fgenesh1_pg.C_scaffold_14000265,0,scaffold_14,1443330,1444092,+,KOG1878
GENE:JGI_V11_100374,fgenesh1_pg.C_scaffold_14000271,NCBI_GNO_614144,scaffold_14,1474812,1476166,-,KOG4157
GENE:JGI_V11_100385,fgenesh1_pg.C_scaffold_14000282,NCBI_GNO_634144,scaffold_14,1524446,1525352,-,KOG3544
GENE:JGI_V11_100387,fgenesh1_pg.C_scaffold_14000284,0,scaffold_14,1529767,1530805,-,0
GENE:JGI_V11_100388,fgenesh1_pg.C_scaffold_14000285,NCBI_GNO_644144,scaffold_14,1538530,1539726,-,KOG3544
GENE:JGI_V11_100403,fgenesh1_pg.C_scaffold_14000300,NCBI_GNO_658144,scaffold_14,1562338,1563507,+,KOG1238
GENE:JGI_V11_100405,fgenesh1_pg.C_scaffold_14000302,NCBI_GNO_662144,scaffold_14,1568694,1570036,+,KOG1238
GENE:JGI_V11_100426,fgenesh1_pg.C_scaffold_14000323,NCBI_GNO_692144,scaffold_14,1637511,1638094,-,0
GENE:JGI_V11_100432,fgenesh1_pg.C_scaffold_14000329,NCBI_GNO_758143,scaffold_14,1661038,1662778,+,KOG1573
GENE:JGI_V11_100447,fgenesh1_pg.C_scaffold_15000012,NCBI_GNO_122154,scaffold_15,90140,91512,+,KOG1467
GENE:JGI_V11_100451,fgenesh1_pg.C_scaffold_15000016,NCBI_GNO_130154,scaffold_15,100659,102661,-,0
GENE:JGI_V11_10046,gw1.123.6.1,NCBI_GNO_70724,scaffold_123,206377,251715,+,KOG1516
GENE:JGI_V11_100462,fgenesh1_pg.C_scaffold_15000027,NCBI_GNO_150154,scaffold_15,131849,133121,+,0
GENE:JGI_V11_100467,fgenesh1_pg.C_scaffold_15000032,NCBI_GNO_158154,scaffold_15,153561,156873,-,0
GENE:JGI_V11_100474,fgenesh1_pg.C_scaffold_15000039,NCBI_GNO_170154,scaffold_15,226488,230558,-,KOG1052
GENE:JGI_V11_100476,fgenesh1_pg.C_scaffold_15000041,NCBI_GNO_118153,scaffold_15,233378,233996,+,KOG3501
GENE:JGI_V11_100485,fgenesh1_pg.C_scaffold_15000050,NCBI_GNO_174154,scaffold_15,241497,242719,-,KOG0192
GENE:JGI_V11_100505,fgenesh1_pg.C_scaffold_15000070,0,scaffold_15,303768,304304,-,0
GENE:JGI_V11_100529,fgenesh1_pg.C_scaffold_15000094,NCBI_GNO_244154,scaffold_15,374072,374937,+,0
GENE:JGI_V11_100541,fgenesh1_pg.C_scaffold_15000106,NCBI_GNO_258154,scaffold_15,398280,400198,+,KOG2854
GENE:JGI_V11_100542,fgenesh1_pg.C_scaffold_15000107,NCBI_GNO_258154,scaffold_15,401088,402593,-,0
GENE:JGI_V11_100544,fgenesh1_pg.C_scaffold_15000109,NCBI_GNO_258154,scaffold_15,451118,451486,-,0
GENE:JGI_V11_100545,fgenesh1_pg.C_scaffold_15000110,NCBI_GNO_258154,scaffold_15,453385,454756,+,0
GENE:JGI_V11_100563,fgenesh1_pg.C_scaffold_15000128,NCBI_GNO_282154,scaffold_15,651657,653342,+,KOG4815
GENE:JGI_V11_100564,fgenesh1_pg.C_scaffold_15000129,NCBI_GNO_284154,scaffold_15,655961,657754,+,KOG4815
GENE:JGI_V11_100593,fgenesh1_pg.C_scaffold_15000158,NCBI_GNO_328154,scaffold_15,811993,812786,+,0
GENE:JGI_V11_100606,fgenesh1_pg.C_scaffold_15000171,NCBI_GNO_334154,scaffold_15,836619,840589,+,KOG3510
GENE:JGI_V11_100611,fgenesh1_pg.C_scaffold_15000176,NCBI_GNO_340154,scaffold_15,853975,855350,+,KOG1376
GENE:JGI_V11_100620,fgenesh1_pg.C_scaffold_15000185,NCBI_GNO_356154,scaffold_15,981935,982936,+,KOG1027
GENE:JGI_V11_100622,fgenesh1_pg.C_scaffold_15000187,NCBI_GNO_360154,scaffold_15,998242,999850,+,0
GENE:JGI_V11_100633,fgenesh1_pg.C_scaffold_15000198,NCBI_GNO_368154,scaffold_15,1033287,1039342,-,KOG1869
GENE:JGI_V11_100635,fgenesh1_pg.C_scaffold_15000200,NCBI_GNO_372154,scaffold_15,1064687,1076003,+,KOG3592
GENE:JGI_V11_100643,fgenesh1_pg.C_scaffold_15000208,NCBI_GNO_394154,scaffold_15,1155253,1156561,-,0
GENE:JGI_V11_100649,fgenesh1_pg.C_scaffold_15000214,NCBI_GNO_408154,scaffold_15,1186591,1187124,+,KOG1674
GENE:JGI_V11_100652,fgenesh1_pg.C_scaffold_15000217,NCBI_GNO_412154,scaffold_15,1194703,1195200,+,KOG1778
GENE:JGI_V11_100671,fgenesh1_pg.C_scaffold_15000236,0,scaffold_15,1302214,1304628,-,0
GENE:JGI_V11_100684,fgenesh1_pg.C_scaffold_15000249,0,scaffold_15,1376800,1378085,-,0
GENE:JGI_V11_100697,fgenesh1_pg.C_scaffold_15000262,NCBI_GNO_466154,scaffold_15,1421339,1421995,+,0
GENE:JGI_V11_100705,fgenesh1_pg.C_scaffold_15000270,NCBI_GNO_472154,scaffold_15,1445319,1447044,+,KOG4141
GENE:JGI_V11_100709,fgenesh1_pg.C_scaffold_15000274,NCBI_GNO_480154,scaffold_15,1452208,1452819,-,0
GENE:JGI_V11_100710,fgenesh1_pg.C_scaffold_15000275,NCBI_GNO_482154,scaffold_15,1453719,1454258,-,0
GENE:JGI_V11_100718,fgenesh1_pg.C_scaffold_15000283,NCBI_GNO_500154,scaffold_15,1470828,1471235,-,0
GENE:JGI_V11_100733,fgenesh1_pg.C_scaffold_15000298,NCBI_GNO_518154,scaffold_15,1543173,1543646,-,0
GENE:JGI_V11_100734,fgenesh1_pg.C_scaffold_15000299,NCBI_GNO_518154,scaffold_15,1560827,1561788,-,0
GENE:JGI_V11_100736,fgenesh1_pg.C_scaffold_15000301,NCBI_GNO_522154,scaffold_15,1575028,1576662,-,KOG4497
GENE:JGI_V11_100740,fgenesh1_pg.C_scaffold_15000305,NCBI_GNO_524154,scaffold_15,1587285,1588660,+,KOG0442
GENE:JGI_V11_100757,fgenesh1_pg.C_scaffold_16000002,NCBI_GNO_50164,scaffold_16,31736,33112,+,0
GENE:JGI_V11_100771,fgenesh1_pg.C_scaffold_16000016,NCBI_GNO_80164,scaffold_16,84912,86384,+,0
GENE:JGI_V11_100774,fgenesh1_pg.C_scaffold_16000019,0,scaffold_16,97809,100293,+,0
GENE:JGI_V11_100775,fgenesh1_pg.C_scaffold_16000020,NCBI_GNO_88164,scaffold_16,101494,102689,-,KOG3529
GENE:JGI_V11_100783,fgenesh1_pg.C_scaffold_16000028,NCBI_GNO_112164,scaffold_16,142121,144560,+,0
GENE:JGI_V11_100787,fgenesh1_pg.C_scaffold_16000032,NCBI_GNO_120164,scaffold_16,200230,201312,-,KOG1290
GENE:JGI_V11_100791,fgenesh1_pg.C_scaffold_16000036,NCBI_GNO_126164,scaffold_16,231989,233031,-,0
GENE:JGI_V11_100794,fgenesh1_pg.C_scaffold_16000039,NCBI_GNO_130164,scaffold_16,262533,263305,-,KOG4176
GENE:JGI_V11_100799,fgenesh1_pg.C_scaffold_16000044,NCBI_GNO_92163,scaffold_16,264163,264663,+,KOG1784
GENE:JGI_V11_100809,fgenesh1_pg.C_scaffold_16000054,NCBI_GNO_144164,scaffold_16,295873,297933,-,KOG3598
GENE:JGI_V11_100812,fgenesh1_pg.C_scaffold_16000057,NCBI_GNO_148164,scaffold_16,305022,305519,+,0
GENE:JGI_V11_100816,fgenesh1_pg.C_scaffold_16000061,NCBI_GNO_158164,scaffold_16,318792,323251,-,KOG1042
GENE:JGI_V11_100825,fgenesh1_pg.C_scaffold_16000070,NCBI_GNO_174164,scaffold_16,363309,364243,+,0
GENE:JGI_V11_100837,fgenesh1_pg.C_scaffold_16000082,NCBI_GNO_194164,scaffold_16,464447,466313,-,0
GENE:JGI_V11_100839,fgenesh1_pg.C_scaffold_16000084,NCBI_GNO_198164,scaffold_16,476908,489590,+,KOG2992
GENE:JGI_V11_100842,fgenesh1_pg.C_scaffold_16000087,NCBI_GNO_204164,scaffold_16,506931,508657,-,KOG0504
GENE:JGI_V11_100849,fgenesh1_pg.C_scaffold_16000094,NCBI_GNO_224164,scaffold_16,544828,547225,-,KOG0504
GENE:JGI_V11_100850,fgenesh1_pg.C_scaffold_16000095,NCBI_GNO_226164,scaffold_16,547977,548892,-,0
GENE:JGI_V11_100862,fgenesh1_pg.C_scaffold_16000107,NCBI_GNO_252164,scaffold_16,611356,611877,-,0
GENE:JGI_V11_100864,fgenesh1_pg.C_scaffold_16000109,NCBI_GNO_258164,scaffold_16,618806,621256,+,KOG3538
GENE:JGI_V11_100866,fgenesh1_pg.C_scaffold_16000111,NCBI_GNO_260164,scaffold_16,628407,632102,-,KOG1216
GENE:JGI_V11_100870,fgenesh1_pg.C_scaffold_16000115,NCBI_GNO_262164,scaffold_16,649130,649776,-,0
GENE:JGI_V11_100888,fgenesh1_pg.C_scaffold_16000133,NCBI_GNO_288164,scaffold_16,841348,842609,-,0
GENE:JGI_V11_100890,fgenesh1_pg.C_scaffold_16000135,NCBI_GNO_292164,scaffold_16,845943,846482,+,0
GENE:JGI_V11_100898,fgenesh1_pg.C_scaffold_16000143,NCBI_GNO_300164,scaffold_16,874413,875106,+,0
GENE:JGI_V11_100906,fgenesh1_pg.C_scaffold_16000151,NCBI_GNO_324164,scaffold_16,915228,916352,+,0
GENE:JGI_V11_100907,fgenesh1_pg.C_scaffold_16000152,NCBI_GNO_328164,scaffold_16,921141,922701,+,KOG2781
GENE:JGI_V11_100911,fgenesh1_pg.C_scaffold_16000156,NCBI_GNO_334164,scaffold_16,932274,933862,+,KOG2817
GENE:JGI_V11_100919,fgenesh1_pg.C_scaffold_16000164,NCBI_GNO_350164,scaffold_16,958022,959991,+,KOG3599
GENE:JGI_V11_100927,fgenesh1_pg.C_scaffold_16000172,NCBI_GNO_360164,scaffold_16,1003645,1005200,+,0
GENE:JGI_V11_100941,fgenesh1_pg.C_scaffold_16000186,NCBI_GNO_384164,scaffold_16,1050781,1053049,-,KOG0718
GENE:JGI_V11_100944,fgenesh1_pg.C_scaffold_16000189,NCBI_GNO_390164,scaffold_16,1071518,1074246,-,0
GENE:JGI_V11_100953,fgenesh1_pg.C_scaffold_16000198,NCBI_GNO_398163,scaffold_16,1104802,1105481,-,0
GENE:JGI_V11_100958,fgenesh1_pg.C_scaffold_16000203,NCBI_GNO_398163,scaffold_16,1112655,1115091,+,KOG0160
GENE:JGI_V11_100959,fgenesh1_pg.C_scaffold_16000204,NCBI_GNO_398163,scaffold_16,1117268,1118166,+,0
GENE:JGI_V11_100968,fgenesh1_pg.C_scaffold_16000213,NCBI_GNO_430164,scaffold_16,1155899,1156964,-,KOG1027
GENE:JGI_V11_100969,fgenesh1_pg.C_scaffold_16000214,NCBI_GNO_434164,scaffold_16,1160735,1163367,-,KOG0160
GENE:JGI_V11_100983,fgenesh1_pg.C_scaffold_16000228,NCBI_GNO_444164,scaffold_16,1191797,1193991,-,KOG4193
GENE:JGI_V11_100988,fgenesh1_pg.C_scaffold_16000233,NCBI_GNO_452164,scaffold_16,1291765,1295984,+,0
GENE:JGI_V11_100993,fgenesh1_pg.C_scaffold_16000238,NCBI_GNO_466164,scaffold_16,1313940,1316038,+,KOG1786
GENE:JGI_V11_100994,fgenesh1_pg.C_scaffold_16000239,NCBI_GNO_468164,scaffold_16,1318157,1320636,-,KOG0161
GENE:JGI_V11_100996,fgenesh1_pg.C_scaffold_16000241,NCBI_GNO_472164,scaffold_16,1337054,1338154,+,0
GENE:JGI_V11_101004,fgenesh1_pg.C_scaffold_16000249,NCBI_GNO_484164,scaffold_16,1373039,1374286,-,0
GENE:JGI_V11_101005,fgenesh1_pg.C_scaffold_16000250,NCBI_GNO_486164,scaffold_16,1375591,1376574,+,0
GENE:JGI_V11_101007,fgenesh1_pg.C_scaffold_16000252,NCBI_GNO_488164,scaffold_16,1380599,1387168,-,KOG4193
GENE:JGI_V11_101008,fgenesh1_pg.C_scaffold_16000253,NCBI_GNO_490164,scaffold_16,1450408,1453238,+,KOG1027
GENE:JGI_V11_101019,fgenesh1_pg.C_scaffold_16000264,0,scaffold_16,1505905,1510903,-,KOG1878
GENE:JGI_V11_101027,fgenesh1_pg.C_scaffold_16000272,NCBI_GNO_532164,scaffold_16,1543607,1544903,+,KOG3627
GENE:JGI_V11_101032,fgenesh1_pg.C_scaffold_16000277,NCBI_GNO_480163,scaffold_16,1583572,1584700,-,KOG3872
GENE:JGI_V11_101046,fgenesh1_pg.C_scaffold_16000291,NCBI_GNO_552164,scaffold_16,1628038,1629839,+,0
GENE:JGI_V11_101053,fgenesh1_pg.C_scaffold_17000004,NCBI_GNO_124174,scaffold_17,15100,17281,-,0
GENE:JGI_V11_101072,fgenesh1_pg.C_scaffold_17000023,NCBI_GNO_156174,scaffold_17,88885,90158,-,0
GENE:JGI_V11_101076,fgenesh1_pg.C_scaffold_17000027,NCBI_GNO_168174,scaffold_17,115096,115954,-,KOG1471
GENE:JGI_V11_101078,fgenesh1_pg.C_scaffold_17000029,NCBI_GNO_172174,scaffold_17,122700,126122,-,KOG2084
GENE:JGI_V11_101079,fgenesh1_pg.C_scaffold_17000030,NCBI_GNO_174174,scaffold_17,127046,128018,-,0
GENE:JGI_V11_101081,fgenesh1_pg.C_scaffold_17000032,NCBI_GNO_180174,scaffold_17,146655,148004,-,0
GENE:JGI_V11_101083,fgenesh1_pg.C_scaffold_17000034,NCBI_GNO_188174,scaffold_17,154402,154767,+,0
GENE:JGI_V11_101084,fgenesh1_pg.C_scaffold_17000035,NCBI_GNO_190174,scaffold_17,157314,158967,+,0
GENE:JGI_V11_101087,fgenesh1_pg.C_scaffold_17000038,NCBI_GNO_196174,scaffold_17,171108,172556,-,KOG0401
GENE:JGI_V11_101088,fgenesh1_pg.C_scaffold_17000039,0,scaffold_17,175070,176855,-,KOG4307
GENE:JGI_V11_101102,fgenesh1_pg.C_scaffold_17000053,NCBI_GNO_226174,scaffold_17,244607,246427,+,KOG2953
GENE:JGI_V11_101109,fgenesh1_pg.C_scaffold_17000060,0,scaffold_17,269398,269865,-,0
GENE:JGI_V11_101112,fgenesh1_pg.C_scaffold_17000063,NCBI_GNO_246174,scaffold_17,290645,292364,+,KOG4441
GENE:JGI_V11_101116,fgenesh1_pg.C_scaffold_17000067,NCBI_GNO_254174,scaffold_17,301766,303501,+,KOG1987
GENE:JGI_V11_101118,fgenesh1_pg.C_scaffold_17000069,NCBI_GNO_260174,scaffold_17,307705,309464,+,KOG1987
GENE:JGI_V11_101120,fgenesh1_pg.C_scaffold_17000071,NCBI_GNO_266174,scaffold_17,312760,314339,+,KOG1987
GENE:JGI_V11_101128,fgenesh1_pg.C_scaffold_17000079,NCBI_GNO_298174,scaffold_17,338348,340095,+,KOG1987
GENE:JGI_V11_101154,fgenesh1_pg.C_scaffold_17000105,NCBI_GNO_140173,scaffold_17,395092,397201,+,KOG4809
GENE:JGI_V11_101160,fgenesh1_pg.C_scaffold_17000111,NCBI_GNO_330174,scaffold_17,413610,415382,+,0
GENE:JGI_V11_101165,fgenesh1_pg.C_scaffold_17000116,NCBI_GNO_342174,scaffold_17,437447,439388,-,0
GENE:JGI_V11_101167,fgenesh1_pg.C_scaffold_17000118,NCBI_GNO_344174,scaffold_17,446771,448348,-,0
GENE:JGI_V11_101170,fgenesh1_pg.C_scaffold_17000121,NCBI_GNO_350174,scaffold_17,459322,460177,+,0
GENE:JGI_V11_101171,fgenesh1_pg.C_scaffold_17000122,NCBI_GNO_352174,scaffold_17,461106,462877,+,KOG1987
GENE:JGI_V11_101174,fgenesh1_pg.C_scaffold_17000125,NCBI_GNO_364174,scaffold_17,475606,478442,+,0
GENE:JGI_V11_101178,fgenesh1_pg.C_scaffold_17000129,0,scaffold_17,516014,516780,-,0
GENE:JGI_V11_101181,fgenesh1_pg.C_scaffold_17000132,NCBI_GNO_378174,scaffold_17,530827,536036,-,0
GENE:JGI_V11_101184,fgenesh1_pg.C_scaffold_17000135,NCBI_GNO_382174,scaffold_17,544581,545093,-,0
GENE:JGI_V11_101186,fgenesh1_pg.C_scaffold_17000137,NCBI_GNO_390174,scaffold_17,560598,561647,+,0
GENE:JGI_V11_101187,fgenesh1_pg.C_scaffold_17000138,NCBI_GNO_392174,scaffold_17,562594,563109,-,0
GENE:JGI_V11_10119,gw1.53.98.1,NCBI_GNO_158434,scaffold_53,472030,499485,+,KOG0501
GENE:JGI_V11_101194,fgenesh1_pg.C_scaffold_17000145,NCBI_GNO_400174,scaffold_17,585896,588030,+,0
GENE:JGI_V11_101201,fgenesh1_pg.C_scaffold_17000152,NCBI_GNO_408174,scaffold_17,609145,612817,+,KOG1033
GENE:JGI_V11_101223,fgenesh1_pg.C_scaffold_17000174,NCBI_GNO_448174,scaffold_17,701267,707522,+,KOG2043
GENE:JGI_V11_101227,fgenesh1_pg.C_scaffold_17000178,NCBI_GNO_452174,scaffold_17,722152,730163,+,KOG2184
GENE:JGI_V11_101230,fgenesh1_pg.C_scaffold_17000181,NCBI_GNO_458174,scaffold_17,751994,754982,+,KOG0946
